day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2015,1,5,01/05/2015,44,32.1,1012.9,7.6,16.3,28.9,39,55,28.9,0.27,999.9,0,498
2,2016,1,5,01/05/2016,27.7,18.1,1028.5,7.9,20.3,28.9,39,43,24.1,0,999.9,0,640
4,2019,1,31,01/31/2019,15.7,1.9,1022.5,9.5,16.4,28.9,41,42.1,8.1,0,999.9,0,601
5,2020,1,17,01/17/2020,27.1,10.8,1023.8,10,24,28.9,40,50,21.9,0.04,999.9,0,565
2,2014,1,7,01/07/2014,23.9,10.4,1009.6,9.4,17.6,28.9,41,52,15.1,0.12,999.9,0,491
7,2014,1,12,01/12/2014,45.1,38.4,1003.8,5.5,14.7,28.9,36.9,53.1,39,1.6,999.9,1,388
5,2017,1,27,01/27/2017,42.1,29.8,997.8,9.9,20.3,28.9,35.9,45,39.9,0.1,999.9,0,583
4,2020,1,16,01/16/2020,40.4,34.3,1010.7,6.6,11,28.9,44.1,48.9,30.2,0.01,999.9,1,547
2,2017,1,24,01/24/2017,48.9,46.9,992.3,2.3,17.2,28.9,41,55,37.9,0.85,999.9,1,564
2,2019,1,1,01/01/2019,47.4,41.6,1009.2,5.4,18.3,29.9,41,54,39.9,0.84,999.9,1,429
3,2015,1,28,01/28/2015,21.6,14.7,1009.6,6.6,16.6,29.9,44.1,26.1,19,0.23,999.9,0,458
4,2019,1,24,01/24/2019,46.5,44.7,1012.6,5.2,19.2,31.1,42,52,42.8,0,999.9,0,592
6,2017,1,7,01/07/2017,31.3,24.9,1022,5.7,13.4,32.1,41,35.1,28.9,0.11,999.9,1,896
2,2018,1,30,01/30/2018,31.9,30.5,1010.7,4.3,23.4,32.1,40,42.1,26.1,0.53,999.9,1,579
6,2016,1,23,01/23/2016,34.6,25.4,1014.3,6.1,17.5,32.1,52.1,37.9,21.9,0,999.9,1,402
3,2016,1,13,01/13/2016,32.9,18.2,1005.8,9.6,18,32.1,42,43,19.9,0.13,999.9,0,605
6,2016,1,16,01/16/2016,45.7,42.5,999,7.3,15.7,32.1,42,51.1,39.9,1.3,999.9,0,563
6,2018,1,13,01/13/2018,45.4,43.2,1007.7,3,19.2,33,45.1,52,33.1,0.41,999.9,1,603
7,2017,1,8,01/08/2017,24.1,15.9,1021.1,6.1,19.5,34,42.9,33.1,19,0.37,999.9,1,406
7,2016,1,10,01/10/2016,51.3,49,1012,4.9,16.2,34,41,57.9,44.1,0,999.9,1,462
5,2014,1,3,01/03/2014,24.2,20.2,1007,0.8,26.9,35.9,47,30.9,15.8,0.15,999.9,1,423
3,2014,1,22,01/22/2014,25,20.3,1001.1,1.9,25.7,35.9,46,36,18,0.01,999.9,1,498
7,2016,1,24,01/24/2016,34.5,27.9,1005.7,6.3,25.6,36.9,49,37.9,33.1,0.37,999.9,0,517
5,2015,1,9,01/09/2015,35.2,22.5,1018.1,9.5,21,38.1,49,46,26.1,0,999.9,0,751
4,2018,1,4,01/04/2018,37.1,35.9,1002.4,5.9,21,40,51.1,42.8,27,0.07,999.9,0,464
2,2015,1,27,01/27/2015,30.2,27.9,993.7,0.6,39.3,48,62.9,33.8,21,0.4,999.9,1,188
3,2020,2,26,02/26/2020,44.5,42.8,1013.9,4.7,7,12,999.9,48,42.1,0.08,999.9,1,449
7,2020,2,23,02/23/2020,39.9,33.7,1021.4,9.8,9.1,12,999.9,48,30,0,999.9,0,391
6,2020,2,1,02/01/2020,39.7,35.2,1015.9,9.9,7.2,12,999.9,44.1,37,0.04,999.9,1,409
7,2020,2,2,02/02/2020,38.5,33,1000.4,9.3,7.9,12,999.9,42.1,35.6,0,999.9,1,389
7,2020,2,9,02/09/2020,33.1,21.6,1032.4,10,7.6,13,999.9,39.9,23,0,999.9,0,371
1,2020,2,17,02/17/2020,38.5,29.4,1021.6,10,7.2,14,999.9,48,30.9,0,999.9,0,339
2,2020,2,4,02/04/2020,42.2,39.4,1010.2,9.2,7.6,14,999.9,48,32,0,999.9,1,464
1,2020,2,3,02/03/2020,38.8,32.1,1005.6,9.9,8.1,15,22,45,32,0,999.9,0,558
6,2020,2,29,02/29/2020,34.1,16.6,1009.1,10,8.9,19,22.9,39.9,24.1,0,999.9,0,456
7,2020,2,16,02/16/2020,37.9,29.8,1023.3,10,13.4,19,27,43,19,0,999.9,0,386
2,2020,2,18,02/18/2020,37.2,30.1,1028.3,9.2,12.1,20,28.9,48,28,0,999.9,1,426
6,2020,2,22,02/22/2020,34.9,20.3,1023.6,10,12.5,20,26,43,19.9,0,999.9,0,406
1,2020,2,10,02/10/2020,43.5,37.7,1025.2,9.1,14.1,20,27,46.9,39,0.01,999.9,1,570
5,2020,2,28,02/28/2020,36.4,17.4,1007.4,10,21.5,27,40,51.1,32,0.21,999.9,0,529
4,2020,2,27,02/27/2020,44.6,39.4,1000.5,4.8,18.5,28,41,51.1,39,0.43,999.9,1,581
5,2020,2,7,02/07/2020,46.3,43.6,989.1,5,16.4,39,51.1,55.9,37.9,0.88,999.9,1,603
6,2014,2,1,02/01/2014,35.6,25.1,1024.8,10,4.8,8,999.9,41,30.9,0,999.9,0,507
3,2016,2,10,02/10/2016,33.5,28,1002.2,9.1,4.2,8.9,999.9,37.9,28,0,999.9,0,537
2,2020,2,25,02/25/2020,44,41.8,1014.5,5.6,5.4,8.9,999.9,50,28.9,0.05,999.9,1,526
6,2019,2,23,02/23/2019,34.8,27.7,1030.2,10,4.9,8.9,999.9,43,30,0,999.9,0,439
